Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2018,Tot_Clms_2018,Tot_Benes_2018,Tot_Spndng_2019,Tot_Clms_2019,Tot_Benes_2019,Tot_Spndng_2020,Tot_Clms_2020,Tot_Benes_2020,Tot_Spndng_2021,Tot_Clms_2021,Tot_Benes_2021,Tot_Spndng_2022,Tot_Clms_2022,Tot_Benes_2022
"1st Tier Unifine Pentips","Pen Needle, Diabetic",Overall,167193.78,6538,2341,139201.68,5392,1878,118923.24,4457,1595,102280.76,3708,1313,70039.61,2501,1147
"1st Tier Unifine Pentips","Pen Needle, Diabetic","Owen Mumford Us",167193.78,6538,2341,139201.68,5392,1878,118923.24,4457,1595,102280.76,3708,1313,70039.61,2501,1147
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",Overall,369402.85,14931,5674,343031.42,14581,5319,210217.15,8408,3905,131927.33,4564,1766,114601.54,3846,1474
"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic","Owen Mumford Us",369402.85,14931,5674,343031.42,14581,5319,210217.15,8408,3905,131927.33,4564,1766,114601.54,3846,1474
Abacavir,"Abacavir Sulfate",Overall,10653423.32,40388,7359,10119967.63,42673,6085,9198597.07,37119,5068,7036063.99,30527,4254,6945563.71,24317,3452
Abacavir,"Abacavir Sulfate",Mylan,1468380.35,5307,1493,1937920.78,7984,1505,1670937.94,6225,1246,1040794.94,4154,842,957143.18,3116,595
Abacavir,"Abacavir Sulfate","Rising Pharm",88001.92,263,62,142257.84,433,77,134219.38,452,64,123118.64,437,65,92432.25,350,49
Abacavir,"Abacavir Sulfate","Cipla USA, Inc.",227189.15,832,241,698311.33,3311,698,758387.24,3347,665,650297.1,3276,651,841670.56,3500,705
Abacavir,"Abacavir Sulfate","Major Pharmaceu",18653.71,82,21,9639.18,44,16,2218.37,17,"",8247.76,39,"",2507.96,23,""
Abacavir,"Abacavir Sulfate","Camber Pharmace",4230093.55,16765,3360,4234275.07,17795,3305,4217073.33,16120,2951,3098891.42,12954,2373,3116371.97,9763,1767
Abacavir,"Abacavir Sulfate","Aurobindo Pharm",4621104.64,17139,3336,3097563.43,13106,2299,2415760.81,10958,1757,2114714.13,9667,1549,1935437.79,7565,1155
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",Overall,15957795.55,45575,8681,16480869.86,42663,6423,11265372.88,27766,4752,9294117.32,29168,4032,11966266.63,25001,3427
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine","Lupin Pharmaceu",4837959.11,14396,2559,3869971.45,10504,1850,4155363.86,10831,1929,2333229.56,7346,1216,2092414.42,4901,924
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine","Cipla USA, Inc.",6073233.32,17484,3232,5147233.64,14962,2625,2201494.1,5979,1511,3574313.32,12337,2013,5578396.02,12927,2138
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine","Burel Pharmaceu","","","",3423734.03,7849,1608,2091576.23,4163,1353,256577.42,823,380,17070.75,39,20
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine","Aurobindo Pharm",5046603.12,13695,2311,4039930.74,9348,1597,2816938.69,6793,1383,3129997.02,8662,1603,4278385.44,7134,1347
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Overall,6955321.12,5298,710,4849598.99,3648,493,2085404.63,1585,290,146795.2,118,32,68772.61,59,15
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,"Lupin Pharmaceu",6955321.12,5298,710,4849598.99,3648,493,2085404.63,1585,290,146795.2,118,32,68772.61,59,15
Abelcet,"Amphotericin B Lipid Complex",Overall,766166.41,620,205,618247.3,777,226,637913.66,826,238,504545.33,697,199,297179.43,350,113
Abelcet,"Amphotericin B Lipid Complex","Leadiant Biosci",766166.41,620,205,618247.3,777,226,637913.66,826,238,504545.33,697,199,297179.43,350,113
Abilify,Aripiprazole,Overall,31071646.36,25660,4690,26854630.75,20939,3670,24481910.61,17689,2532,20484851.18,15261,2174,13141218.3,13586,1920
Abilify,Aripiprazole,"Otsuka America",31071646.36,25660,4690,26854630.75,20939,3670,24481910.61,17689,2532,20484851.18,15261,2174,13141218.3,13586,1920
"Abilify Maintena",Aripiprazole,Overall,345893454.06,164759,22935,422038582.34,189140,25421,460313112.01,203218,25646,499429110.88,208784,26393,563682902.82,219843,27676
"Abilify Maintena",Aripiprazole,"Otsuka America",345893454.06,164759,22935,422038582.34,189140,25421,460313112.01,203218,25646,499429110.88,208784,26393,563682902.82,219843,27676
"Abilify Mycite",Aripiprazole,Overall,"","","",40552.86,24,"",92372.21,47,15,56308.8,31,"",75603.15,44,""
"Abilify Mycite",Aripiprazole,"Otsuka America","","","",40552.86,24,"",92372.21,47,15,56308.8,31,"",75603.15,44,""
"Abiraterone Acetate","Abiraterone Acetate",Overall,26623436.37,3624,3328,512604238.08,98661,17787,499949838,151737,23638,601154528.95,199285,30513,701850079.96,230081,35733
"Abiraterone Acetate","Abiraterone Acetate","Apotex Corp",10934145.94,1420,1334,114778256.63,19000,6121,71640280.53,17507,4741,43828187.66,13837,3612,53537526.58,13337,3548
"Abiraterone Acetate","Abiraterone Acetate","Glenmark Pharma","","","","","","","","","",582002.55,236,185,36913029,11507,3591
"Abiraterone Acetate","Abiraterone Acetate","Dr.Reddy'S Lab","","","","","","",626395.12,159,104,1840647.11,545,239,16295701.94,4989,1648
"Abiraterone Acetate","Abiraterone Acetate","Novugen Pharma","","","","","","","","","","","","",669762.06,140,68
"Abiraterone Acetate","Abiraterone Acetate","Celltrion USA,","","","","","","",945649.24,2534,1003,4898138.39,12936,2784,120810344.99,33500,7306
"Abiraterone Acetate","Abiraterone Acetate","Wockhardt USA L","","","",8538883.37,1712,819,15147557.6,4492,1573,9167613.92,3463,1352,9032292.89,3031,1190
"Abiraterone Acetate","Abiraterone Acetate",West-Ward/Hikma,1127427.3,255,249,15366088.51,7643,1731,3903999.61,13174,2053,3089709.84,17105,2635,3501028.36,21807,3390
"Abiraterone Acetate","Abiraterone Acetate","Northstar Rx Ll","","","","","","",445297.27,149,149,33110769.99,12105,2589,40450561.47,12829,3104
"Abiraterone Acetate","Abiraterone Acetate","Patriot Pharmac",8067619.77,1054,974,231496652.37,43147,10563,98574761.07,26288,6842,3649785.15,1094,348,252071.28,82,40
"Abiraterone Acetate","Abiraterone Acetate","Novadoz Pharmac","","","",20635781.2,4957,2138,182376285.57,54225,12624,233618611.16,84087,15670,216361472.7,82563,16102
"Abiraterone Acetate","Abiraterone Acetate","Florida Pharmac","","","","","","","","","","","","",33547.73,165,152
"Abiraterone Acetate","Abiraterone Acetate","Civicascript, L","","","","","","","","","","","","",13756.51,67,34
"Abiraterone Acetate","Abiraterone Acetate",Mylan,4650291.61,653,599,89624661.26,16412,4018,46509342.26,10676,2876,105057491.89,15673,4349,64626491.04,10295,2908
"Abiraterone Acetate","Abiraterone Acetate","Amneal Pharmace","","","",20386448.34,3774,1234,24080851.95,8438,2263,98437342.1,20654,4355,93297676.03,21766,5237
"Abiraterone Acetate","Abiraterone Acetate",Bluepoint/Oncop,"","","","","","","","","",8944728.38,2779,839,26482869.57,8539,1827
"Abiraterone Acetate","Abiraterone Acetate","Major Pharmaceu","","","","","","",4632.8,11,"",19197.61,67,38,48852.49,150,62
"Abiraterone Acetate","Abiraterone Acetate","Rising Pharm","","","","","","",52080902.12,13222,3140,54513705.91,14601,3533,19109349.32,5186,2034
"Abiraterone Acetate","Abiraterone Acetate","Teva USA",1843951.75,242,214,11777466.4,2016,679,3613882.86,862,325,396597.29,103,25,413746,128,35
Abraxane,"Paclitaxel Protein-Bound",Overall,5675297.99,828,236,8803136.55,1190,333,9792937.31,1286,319,9534884.71,1200,307,6230057.81,810,220
Abraxane,"Paclitaxel Protein-Bound",Celgene/BMS,5675297.99,828,236,8803136.55,1190,333,9792937.31,1286,319,9534884.71,1200,307,6230057.81,810,220
Absorica,Isotretinoin,Overall,317230.79,180,78,256597.51,150,47,235353.71,126,52,163699.34,88,35,93008.56,51,24
Absorica,Isotretinoin,"Sun Pharmaceuti",317230.79,180,78,256597.51,150,47,235353.71,126,52,163699.34,88,35,93008.56,51,24
"Absorica Ld","Isotretinoin, Micronized",Overall,"","","","","","",25585.7,15,"",81264.22,31,11,24902.87,15,""
"Absorica Ld","Isotretinoin, Micronized","Sun Pharmaceuti","","","","","","",25585.7,15,"",81264.22,31,11,24902.87,15,""
"Acamprosate Calcium","Acamprosate Calcium",Overall,5272879.18,34628,10706,6133862.01,37124,11649,6475928.88,40041,11880,7045996.74,43349,13110,7435039.55,45173,13739
"Acamprosate Calcium","Acamprosate Calcium","Glenmark Pharma",3043129.45,19572,6477,3741077.17,22641,7645,3920114.18,23940,7724,4262923.33,25692,8566,4337637.12,25208,8612
"Acamprosate Calcium","Acamprosate Calcium","Marlex Pharm.",5338.07,35,24,6121.51,48,27,4808.02,28,23,9231.61,58,44,2979.37,27,11
"Acamprosate Calcium","Acamprosate Calcium",Mylan,523392.12,3774,1612,150985.65,1106,582,787116.88,5686,2022,812965.38,5812,2239,685171.27,5031,1824
"Acamprosate Calcium","Acamprosate Calcium",AHP,3358.03,27,17,2461.5,28,14,3366.34,30,22,6457.22,53,33,3790.62,28,20
"Acamprosate Calcium","Acamprosate Calcium","Zydus Pharmaceu",1592019.25,10463,4051,2161886.42,12820,4598,1727652.52,10153,3824,1924716.56,11538,4330,2379337.1,14651,5635
"Acamprosate Calcium","Acamprosate Calcium","Teva USA",105642.26,757,410,71329.76,481,246,32870.94,204,96,29702.64,196,72,26124.07,228,56
Acanya,"Clindamycin Phos/Benzoyl Perox",Overall,146741.77,254,143,60935.72,107,56,33711.89,60,15,15964.61,29,"",9928.83,18,""
Acanya,"Clindamycin Phos/Benzoyl Perox","Bausch Health U",146741.77,254,143,60935.72,107,56,33711.89,60,15,15964.61,29,"",9928.83,18,""
Acarbose,Acarbose,Overall,7782118.77,157399,42897,8782064.06,173977,44062,10722866.7,185085,43961,10728639.22,180238,44200,10098039.82,174307,43168
Acarbose,Acarbose,Roxane/West-War,307877.52,8449,2191,2166182.96,41178,13130,4384018.53,72172,21039,4669434.02,75533,20671,3917330.86,63027,18167
Acarbose,Acarbose,"Virtus Pharmace",5005722.25,94608,27176,2387051.97,42018,15316,2526822.01,39224,14146,2185093.64,34473,11298,1310644.33,24510,9545
Acarbose,Acarbose,"Strides Pharma",2436933.51,53553,16385,4201059.18,90053,23637,3798277.52,73353,22003,3835408.06,69403,19761,4612615.79,81131,22970
Acarbose,Acarbose,"Avet Pharmaceut",31585.49,789,208,27769.95,728,182,13748.64,336,105,38703.5,829,571,257448.84,5639,1826
Accolate,Zafirlukast,Overall,335122.21,951,166,267173.42,731,141,241732.21,635,121,217404.57,521,103,149766.1,358,91
Accolate,Zafirlukast,"Par Pharmaceuti",335122.21,951,166,267173.42,731,141,241732.21,635,121,217404.57,521,103,149766.1,358,91
Accupril,"Quinapril HCl",Overall,2823256.85,7383,1640,2657878.87,6757,1518,2298518.54,5639,1311,1802400.49,4302,1045,320682.07,819,500
